person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,monthly_income,loan_risk_tier
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,0,2,18-25,800.0,Aşağı Risk
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,0,3,18-25,800.0,Yüksək Risk
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,0,2,18-25,5458.33,Yüksək Risk
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,1,4,18-25,4533.33,Yüksək Risk
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,0,2,18-25,825.0,Orta Risk
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,0,3,26-35,6425.0,Yüksək Risk
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,0,4,18-25,6579.67,Yüksək Risk
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,0,2,18-25,6916.67,Yüksək Risk
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,0,3,18-25,833.33,Aşağı Risk
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,0,4,18-25,7083.33,Yüksək Risk
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,0,2,18-25,833.33,Yüksək Risk
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,0,2,18-25,7916.67,Orta Risk
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,0,4,26-35,9013.33,Orta Risk
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,0,4,18-25,9583.33,Orta Risk
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,0,3,18-25,41666.67,Aşağı Risk
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,0,4,18-25,10000.0,Orta Risk
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,0,4,18-25,7675.92,Orta Risk
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,0,4,18-25,9416.67,Orta Risk
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,0,2,18-25,900.0,Aşağı Risk
